playername
Anze Kopitar
Jason Spezza
Daniel Sedin
Tuomo Ruutu
Sidney Crosby
Zach Parise
Daniel Cleary
Ville Peltonen
Patrick Marleau
Chad LaRose
Chuck Kobasew
Henrik Zetterberg
Jarome Iginla
Scott Hartnell
Maxim Lapierre
Alex Ovechkin
Derek Roy
Colby Armstrong
Ryan Smyth
Ryan Getzlaf
Ryan Kesler
Scott Gomez
Eric Staal
Brandon Dubinsky
Ryane Clowe
Jason Blake
Lee Stempniak
Vincent Lecavalier
Ryan Callahan
Nikolay Zherdev
Dave Bolland
Ethan Moreau
Devin Setoguchi
Dustin Brown
Dominic Moore
Curtis Glencross
Alex Kovalev
Daniel Alfredsson
David Booth
Drew Stafford
Corey Perry
Jonathan Toews
Martin St. Louis
Martin Havlat
Dany Heatley
Michael Frolik
Patrick O'Sullivan
Keith Tkachuk
Phil Kessel
Paul Gaustad
David Clarkson
Chris Kunitz
Gregory Campbell
Marc Savard
Ray Whitney
Evgeni Malkin
Joe Thornton
Joe Pavelski
Radek Dvorak
Mike Richards
Henrik Sedin
Patrick Kane
Jamie Langenbrunner
Mike Fisher
Tom Kostopoulos
Shawn Horcoff
Brooks Laich
Milan Lucic
Alexander Semin
Dustin Penner
Marty Reasoner
Craig Conroy
Michael Cammalleri
Chris Thorburn
Alexandre Burrows
